Input.sentence0,Input.question0,Input.Q0-Name1,Input.Q0-Name2,Input.sentence1,Input.question1,Input.Q1-Name1,Input.Q1-Name2,Input.sentence2,Input.question2,Input.Q2-Name1,Input.Q2-Name2,Input.sentence3,Input.question3,Input.Q3-Name1,Input.Q3-Name2,Input.sentence4,Input.question4,Input.Q4-Name1,Input.Q4-Name2,Input.sentence5,Input.question5,Input.Q5-Name1,Input.Q5-Name2,Input.sentence6,Input.question6,Input.Q6-Name1,Input.Q6-Name2,Input.sentence7,Input.question7,Input.Q7-Name1,Input.Q7-Name2,Input.sentence8,Input.question8,Input.Q8-Name1,Input.Q8-Name2,Input.sentence9,Input.question9,Input.Q9-Name1,Input.Q9-Name2,Answer.Q0,Answer.Q1,Answer.Q2,Answer.Q3,Answer.Q4,Answer.Q5,Answer.Q6,Answer.Q7,Answer.Q8,Answer.Q9,Answer.native
"Matthew left a voicemail for Joshua because he wanted to share some updates.
",Who wanted to share some updates?,Matthew,Joshua,"Matthew sang Joshua a short piece before he encouraged him to sing more.
",Who encouraged him to sing more?,Matthew,Joshua,"The son told Robert that he exhausted Brian.
",Who exhausted Brian?,the son,Robert,"The son was told by Robert that he demoralized Brian.
",Who demoralized Brian?,the son,Robert,"The sister-in-law told Amanda that she moved the client.
",Who moved the client?,the sister-in-law,Amanda,"The sister-in-law bought Amanda a drink after she arrived at the party.
",Who arrived at the party?,the sister-in-law,Amanda,"The sister-in-law texted Amanda because she wanted to ask a question.
",Who wanted to ask a question?,the sister-in-law,Amanda,"Matthew was asked a second question by Joshua before he went ahead answering the first one.
",Who went ahead answering the first one?,Matthew,Joshua,"Matthew was left a voicemail by Joshua because he had been on leave for a long time.
",Who had been on leave for a long time?,Matthew,Joshua,"Matthew taught Joshua cooking before he had ever learned it in his life.
",Who had ever learned it in his life?,Matthew,Joshua,def-Q0-Name1,Ambiguous,prob-Q2-Name2,Ambiguous,def-Q4-Name1,Ambiguous,def-Q6-Name1,def-Q7-Name1,prob-Q8-Name1,prob-Q9-Name2,yes
"The sister-in-law wrote a letter to Amanda because she has an important interview tomorrow.
",Who has an important interview tomorrow?,the sister-in-law,Amanda,"Matthew was sent a message by Joshua because he was upset.
",Who was upset?,Matthew,Joshua,"Matthew was emailed by Joshua because he is moving abroad soon.
",Who is moving abroad soon?,Matthew,Joshua,"The sister-in-law was handed some cards by Amanda after she joined the board game.
",Who joined the board game?,the sister-in-law,Amanda,"The sister-in-law played Amanda a beautiful song after she asked for some background music.
",Who asked for some background music?,the sister-in-law,Amanda,"Matthew told Joshua that he loved the client.
",Who loved the client?,Matthew,Joshua,"Matthew lent Joshua some money before he asked him to do so.
",Who asked him to do so?,Matthew,Joshua,"Melissa was told by Jennifer that the father-in-law loved her.
",Who did the father-in-law love?,Melissa,Jennifer,"Matthew was told by Joshua that he puzzled the client.
",Who puzzled the client?,Matthew,Joshua,"Melissa was told by Jennifer that she distrusted the father-in-law.
",Who distrusted the father-in-law?,Melissa,Jennifer,Ambiguous,prob-Q1-Name2,Ambiguous,prob-Q3-Name1,prob-Q4-Name2,prob-Q5-Name1,prob-Q6-Name2,prob-Q7-Name1,Ambiguous,prob-Q9-Name2,yes
"The sister-in-law wrote a letter to Amanda because she has an important interview tomorrow.
",Who has an important interview tomorrow?,the sister-in-law,Amanda,"Matthew was sent a message by Joshua because he was upset.
",Who was upset?,Matthew,Joshua,"Matthew was emailed by Joshua because he is moving abroad soon.
",Who is moving abroad soon?,Matthew,Joshua,"The sister-in-law was handed some cards by Amanda after she joined the board game.
",Who joined the board game?,the sister-in-law,Amanda,"The sister-in-law played Amanda a beautiful song after she asked for some background music.
",Who asked for some background music?,the sister-in-law,Amanda,"Matthew told Joshua that he loved the client.
",Who loved the client?,Matthew,Joshua,"Matthew lent Joshua some money before he asked him to do so.
",Who asked him to do so?,Matthew,Joshua,"Melissa was told by Jennifer that the father-in-law loved her.
",Who did the father-in-law love?,Melissa,Jennifer,"Matthew was told by Joshua that he puzzled the client.
",Who puzzled the client?,Matthew,Joshua,"Melissa was told by Jennifer that she distrusted the father-in-law.
",Who distrusted the father-in-law?,Melissa,Jennifer,Ambiguous,prob-Q1-Name1,Ambiguous,prob-Q3-Name1,prob-Q4-Name2,def-Q5-Name1,prob-Q6-Name2,def-Q7-Name1,Ambiguous,prob-Q9-Name1,yes
"The sister-in-law wrote a letter to Amanda because she has an important interview tomorrow.
",Who has an important interview tomorrow?,the sister-in-law,Amanda,"Matthew was sent a message by Joshua because he was upset.
",Who was upset?,Matthew,Joshua,"Matthew was emailed by Joshua because he is moving abroad soon.
",Who is moving abroad soon?,Matthew,Joshua,"The sister-in-law was handed some cards by Amanda after she joined the board game.
",Who joined the board game?,the sister-in-law,Amanda,"The sister-in-law played Amanda a beautiful song after she asked for some background music.
",Who asked for some background music?,the sister-in-law,Amanda,"Matthew told Joshua that he loved the client.
",Who loved the client?,Matthew,Joshua,"Matthew lent Joshua some money before he asked him to do so.
",Who asked him to do so?,Matthew,Joshua,"Melissa was told by Jennifer that the father-in-law loved her.
",Who did the father-in-law love?,Melissa,Jennifer,"Matthew was told by Joshua that he puzzled the client.
",Who puzzled the client?,Matthew,Joshua,"Melissa was told by Jennifer that she distrusted the father-in-law.
",Who distrusted the father-in-law?,Melissa,Jennifer,prob-Q0-Name2,prob-Q1-Name2,prob-Q2-Name2,def-Q3-Name1,def-Q4-Name2,def-Q5-Name1,def-Q6-Name2,def-Q7-Name1,prob-Q8-Name2,def-Q9-Name2,yes
"Matthew was pinged by Joshua because he is flying abroad soon.
",Who is flying abroad soon?,Matthew,Joshua,"The son was told by Robert that Brian excited him.
",Who did Brian excite?,the son,Robert,"The son was told by Robert that he frightened Brian.
",Who frightened Brian?,the son,Robert,"The sister-in-law was played some classical music by Amanda before she requested a different genre.
",Who requested a different genre?,the sister-in-law,Amanda,"The sister-in-law told Amanda that she talked to the client.
",Who talked to the client?,the sister-in-law,Amanda,"The sister-in-law built Amanda a snowman after she said she wanted one.
",Who said she wanted one?,the sister-in-law,Amanda,"The sister-in-law passed Amanda the book before she submitted the assignment.
",Who submitted the assignment?,the sister-in-law,Amanda,"Matthew was told by Joshua that the client abhorred him.
",Who did the client abhor?,Matthew,Joshua,"The sister-in-law was told by Amanda that she perplexed the client.
",Who perplexed the client?,the sister-in-law,Amanda,"William was told by Joshua that he feared the saleswoman.
",Who feared the saleswoman?,William,Joshua,prob-Q0-Name1,def-Q1-Name1,prob-Q2-Name1,Ambiguous,prob-Q4-Name1,def-Q5-Name2,Ambiguous,prob-Q7-Name1,prob-Q8-Name1,$def-Q9-Name1,yes
"Matthew was pinged by Joshua because he is flying abroad soon.
",Who is flying abroad soon?,Matthew,Joshua,"The son was told by Robert that Brian excited him.
",Who did Brian excite?,the son,Robert,"The son was told by Robert that he frightened Brian.
",Who frightened Brian?,the son,Robert,"The sister-in-law was played some classical music by Amanda before she requested a different genre.
",Who requested a different genre?,the sister-in-law,Amanda,"The sister-in-law told Amanda that she talked to the client.
",Who talked to the client?,the sister-in-law,Amanda,"The sister-in-law built Amanda a snowman after she said she wanted one.
",Who said she wanted one?,the sister-in-law,Amanda,"The sister-in-law passed Amanda the book before she submitted the assignment.
",Who submitted the assignment?,the sister-in-law,Amanda,"Matthew was told by Joshua that the client abhorred him.
",Who did the client abhor?,Matthew,Joshua,"The sister-in-law was told by Amanda that she perplexed the client.
",Who perplexed the client?,the sister-in-law,Amanda,"William was told by Joshua that he feared the saleswoman.
",Who feared the saleswoman?,William,Joshua,prob-Q0-Name1,def-Q1-Name2,def-Q2-Name2,prob-Q3-Name2,def-Q4-Name1,def-Q5-Name2,prob-Q6-Name2,prob-Q7-Name2,def-Q8-Name2,def-Q9-Name2,yes
"Matthew was pinged by Joshua because he is flying abroad soon.
",Who is flying abroad soon?,Matthew,Joshua,"The son was told by Robert that Brian excited him.
",Who did Brian excite?,the son,Robert,"The son was told by Robert that he frightened Brian.
",Who frightened Brian?,the son,Robert,"The sister-in-law was played some classical music by Amanda before she requested a different genre.
",Who requested a different genre?,the sister-in-law,Amanda,"The sister-in-law told Amanda that she talked to the client.
",Who talked to the client?,the sister-in-law,Amanda,"The sister-in-law built Amanda a snowman after she said she wanted one.
",Who said she wanted one?,the sister-in-law,Amanda,"The sister-in-law passed Amanda the book before she submitted the assignment.
",Who submitted the assignment?,the sister-in-law,Amanda,"Matthew was told by Joshua that the client abhorred him.
",Who did the client abhor?,Matthew,Joshua,"The sister-in-law was told by Amanda that she perplexed the client.
",Who perplexed the client?,the sister-in-law,Amanda,"William was told by Joshua that he feared the saleswoman.
",Who feared the saleswoman?,William,Joshua,def-Q0-Name1,prob-Q1-Name1,prob-Q2-Name1,def-Q3-Name1,def-Q4-Name1,def-Q5-Name2,prob-Q6-Name1,def-Q7-Name1,def-Q8-Name1,def-Q9-Name2,yes
"Matthew told Joshua that he relieved the client.
",Who relieved the client?,Matthew,Joshua,"Kimberly told the aunt that she appalled the granddaughter.
",Who appalled the granddaughter?,Kimberly,the aunt,"Matthew was told by Joshua that he tortured the client.
",Who tortured the client?,Matthew,Joshua,"Matthew was emailed by Joshua because he wanted to share some updates.
",Who wanted to share some updates?,Matthew,Joshua,"Matthew pinged Joshua because he was seeking feedback.
",Who was seeking feedback?,Matthew,Joshua,"The sister-in-law told Amanda that the client disturbed her.
",Who did the client disturb?,the sister-in-law,Amanda,"Kimberly was told by the aunt that she discouraged the granddaughter.
",Who discouraged the granddaughter?,Kimberly,the aunt,"Matthew told Joshua that he supported the client.
",Who supported the client?,Matthew,Joshua,"Kimberly told the aunt that she enchanted the granddaughter.
",Who enchanted the granddaughter?,Kimberly,the aunt,"Matthew was told by Joshua that he invited the client.
",Who invited the client?,Matthew,Joshua,prob-Q0-Name1,prob-Q1-Name2,prob-Q2-Name1,def-Q3-Name1,def-Q4-Name1,def-Q5-Name1,def-Q6-Name1,def-Q7-Name1,Ambiguous,$def-Q9-Name1,yes
"Matthew told Joshua that he relieved the client.
",Who relieved the client?,Matthew,Joshua,"Kimberly told the aunt that she appalled the granddaughter.
",Who appalled the granddaughter?,Kimberly,the aunt,"Matthew was told by Joshua that he tortured the client.
",Who tortured the client?,Matthew,Joshua,"Matthew was emailed by Joshua because he wanted to share some updates.
",Who wanted to share some updates?,Matthew,Joshua,"Matthew pinged Joshua because he was seeking feedback.
",Who was seeking feedback?,Matthew,Joshua,"The sister-in-law told Amanda that the client disturbed her.
",Who did the client disturb?,the sister-in-law,Amanda,"Kimberly was told by the aunt that she discouraged the granddaughter.
",Who discouraged the granddaughter?,Kimberly,the aunt,"Matthew told Joshua that he supported the client.
",Who supported the client?,Matthew,Joshua,"Kimberly told the aunt that she enchanted the granddaughter.
",Who enchanted the granddaughter?,Kimberly,the aunt,"Matthew was told by Joshua that he invited the client.
",Who invited the client?,Matthew,Joshua,prob-Q0-Name1,Ambiguous,Ambiguous,prob-Q3-Name2,prob-Q4-Name2,Ambiguous,def-Q6-Name1,prob-Q7-Name2,prob-Q8-Name2,prob-Q9-Name1,yes
"Matthew told Joshua that he relieved the client.
",Who relieved the client?,Matthew,Joshua,"Kimberly told the aunt that she appalled the granddaughter.
",Who appalled the granddaughter?,Kimberly,the aunt,"Matthew was told by Joshua that he tortured the client.
",Who tortured the client?,Matthew,Joshua,"Matthew was emailed by Joshua because he wanted to share some updates.
",Who wanted to share some updates?,Matthew,Joshua,"Matthew pinged Joshua because he was seeking feedback.
",Who was seeking feedback?,Matthew,Joshua,"The sister-in-law told Amanda that the client disturbed her.
",Who did the client disturb?,the sister-in-law,Amanda,"Kimberly was told by the aunt that she discouraged the granddaughter.
",Who discouraged the granddaughter?,Kimberly,the aunt,"Matthew told Joshua that he supported the client.
",Who supported the client?,Matthew,Joshua,"Kimberly told the aunt that she enchanted the granddaughter.
",Who enchanted the granddaughter?,Kimberly,the aunt,"Matthew was told by Joshua that he invited the client.
",Who invited the client?,Matthew,Joshua,def-Q0-Name1,def-Q1-Name2,def-Q2-Name2,def-Q3-Name2,def-Q4-Name1,def-Q5-Name1,prob-Q6-Name1,def-Q7-Name1,def-Q8-Name2,def-Q9-Name2,yes
"Matthew was sold an apartment by Joshua before he had ever heard about this story.
",Who had ever heard about this story?,Matthew,Joshua,"The sister-in-law baked Amanda some egg tarts after she got off work.
",Who got off work?,the sister-in-law,Amanda,"The sister-in-law showed Amanda an elegant hat before she started singing.
",Who started singing?,the sister-in-law,Amanda,"Matthew told Joshua that the client concerned him.
",Who did the client concern?,Matthew,Joshua,"The sister-in-law told Amanda that she stunned the client.
",Who stunned the client?,the sister-in-law,Amanda,"Melissa told Jennifer that the father-in-law frustrated her.
",Who did the father-in-law frustrate?,Melissa,Jennifer,"Matthew was told by Joshua that he respected the client.
",Who respected the client?,Matthew,Joshua,"The son told Robert that he frightened Brian.
",Who frightened Brian?,the son,Robert,"The sister-in-law told Amanda that she mentored the client.
",Who mentored the client?,the sister-in-law,Amanda,"Matthew left a voicemail for Joshua because he was seeking feedback.
",Who was seeking feedback?,Matthew,Joshua,prob-Q0-Name1,prob-Q1-Name1,def-Q2-Name1,def-Q3-Name1,Ambiguous,def-Q5-Name1,def-Q6-Name1,prob-Q7-Name2,def-Q8-Name1,$def-Q9-Name1,yes
"Matthew was sold an apartment by Joshua before he had ever heard about this story.
",Who had ever heard about this story?,Matthew,Joshua,"The sister-in-law baked Amanda some egg tarts after she got off work.
",Who got off work?,the sister-in-law,Amanda,"The sister-in-law showed Amanda an elegant hat before she started singing.
",Who started singing?,the sister-in-law,Amanda,"Matthew told Joshua that the client concerned him.
",Who did the client concern?,Matthew,Joshua,"The sister-in-law told Amanda that she stunned the client.
",Who stunned the client?,the sister-in-law,Amanda,"Melissa told Jennifer that the father-in-law frustrated her.
",Who did the father-in-law frustrate?,Melissa,Jennifer,"Matthew was told by Joshua that he respected the client.
",Who respected the client?,Matthew,Joshua,"The son told Robert that he frightened Brian.
",Who frightened Brian?,the son,Robert,"The sister-in-law told Amanda that she mentored the client.
",Who mentored the client?,the sister-in-law,Amanda,"Matthew left a voicemail for Joshua because he was seeking feedback.
",Who was seeking feedback?,Matthew,Joshua,prob-Q0-Name1,prob-Q1-Name1,prob-Q2-Name1,prob-Q3-Name1,prob-Q4-Name2,prob-Q5-Name1,prob-Q6-Name2,prob-Q7-Name2,prob-Q8-Name1,prob-Q9-Name1,yes
"Matthew was sold an apartment by Joshua before he had ever heard about this story.
",Who had ever heard about this story?,Matthew,Joshua,"The sister-in-law baked Amanda some egg tarts after she got off work.
",Who got off work?,the sister-in-law,Amanda,"The sister-in-law showed Amanda an elegant hat before she started singing.
",Who started singing?,the sister-in-law,Amanda,"Matthew told Joshua that the client concerned him.
",Who did the client concern?,Matthew,Joshua,"The sister-in-law told Amanda that she stunned the client.
",Who stunned the client?,the sister-in-law,Amanda,"Melissa told Jennifer that the father-in-law frustrated her.
",Who did the father-in-law frustrate?,Melissa,Jennifer,"Matthew was told by Joshua that he respected the client.
",Who respected the client?,Matthew,Joshua,"The son told Robert that he frightened Brian.
",Who frightened Brian?,the son,Robert,"The sister-in-law told Amanda that she mentored the client.
",Who mentored the client?,the sister-in-law,Amanda,"Matthew left a voicemail for Joshua because he was seeking feedback.
",Who was seeking feedback?,Matthew,Joshua,def-Q0-Name1,prob-Q1-Name2,prob-Q2-Name1,Ambiguous,prob-Q4-Name2,def-Q5-Name1,prob-Q6-Name1,prob-Q7-Name2,def-Q8-Name1,prob-Q9-Name2,yes
"The son was told by Robert that Brian supported him.
",Who did Brian support?,the son,Robert,"Melissa told Jennifer that she cried for the father-in-law.
",Who cried for the father-in-law?,Melissa,Jennifer,"The sister-in-law was told by Amanda that the client favored her.
",Who did the client favor?,the sister-in-law,Amanda,"Matthew gave Joshua a call before he waited too long for the call.
",Who waited too long for the call?,Matthew,Joshua,"The sister-in-law told Amanda that the client chatted with her.
",Who did the client chat with?,the sister-in-law,Amanda,"Matthew told Joshua that he unsettled the client.
",Who unsettled the client?,Matthew,Joshua,"The sister-in-law sang Amanda an old jazz song before she told her to stop.
",Who told her to stop?,the sister-in-law,Amanda,"The sister-in-law passed Amanda the book before she asked her to do so.
",Who asked her to do so?,the sister-in-law,Amanda,"The son was told by Robert that Brian misapprehended him.
",Who did Brian misapprehend?,the son,Robert,"Matthew sent a message to Joshua because he is flying abroad soon.
",Who is flying abroad soon?,Matthew,Joshua,def-Q0-Name1,def-Q1-Name1,def-Q2-Name1,prob-Q3-Name2,prob-Q4-Name1,prob-Q5-Name2,def-Q6-Name2,prob-Q7-Name2,Ambiguous,Ambiguous,yes
"The son was told by Robert that Brian supported him.
",Who did Brian support?,the son,Robert,"Melissa told Jennifer that she cried for the father-in-law.
",Who cried for the father-in-law?,Melissa,Jennifer,"The sister-in-law was told by Amanda that the client favored her.
",Who did the client favor?,the sister-in-law,Amanda,"Matthew gave Joshua a call before he waited too long for the call.
",Who waited too long for the call?,Matthew,Joshua,"The sister-in-law told Amanda that the client chatted with her.
",Who did the client chat with?,the sister-in-law,Amanda,"Matthew told Joshua that he unsettled the client.
",Who unsettled the client?,Matthew,Joshua,"The sister-in-law sang Amanda an old jazz song before she told her to stop.
",Who told her to stop?,the sister-in-law,Amanda,"The sister-in-law passed Amanda the book before she asked her to do so.
",Who asked her to do so?,the sister-in-law,Amanda,"The son was told by Robert that Brian misapprehended him.
",Who did Brian misapprehend?,the son,Robert,"Matthew sent a message to Joshua because he is flying abroad soon.
",Who is flying abroad soon?,Matthew,Joshua,prob-Q0-Name1,Ambiguous,prob-Q2-Name2,Ambiguous,prob-Q4-Name1,prob-Q5-Name1,Ambiguous,def-Q7-Name1,Ambiguous,prob-Q9-Name1,yes
"The son was told by Robert that Brian supported him.
",Who did Brian support?,the son,Robert,"Melissa told Jennifer that she cried for the father-in-law.
",Who cried for the father-in-law?,Melissa,Jennifer,"The sister-in-law was told by Amanda that the client favored her.
",Who did the client favor?,the sister-in-law,Amanda,"Matthew gave Joshua a call before he waited too long for the call.
",Who waited too long for the call?,Matthew,Joshua,"The sister-in-law told Amanda that the client chatted with her.
",Who did the client chat with?,the sister-in-law,Amanda,"Matthew told Joshua that he unsettled the client.
",Who unsettled the client?,Matthew,Joshua,"The sister-in-law sang Amanda an old jazz song before she told her to stop.
",Who told her to stop?,the sister-in-law,Amanda,"The sister-in-law passed Amanda the book before she asked her to do so.
",Who asked her to do so?,the sister-in-law,Amanda,"The son was told by Robert that Brian misapprehended him.
",Who did Brian misapprehend?,the son,Robert,"Matthew sent a message to Joshua because he is flying abroad soon.
",Who is flying abroad soon?,Matthew,Joshua,prob-Q0-Name1,def-Q1-Name1,prob-Q2-Name2,Ambiguous,def-Q4-Name1,prob-Q5-Name2,def-Q6-Name2,def-Q7-Name2,prob-Q8-Name2,Ambiguous,yes
"The sister-in-law told Amanda that the client favored her.
",Who did the client favor?,the sister-in-law,Amanda,"The sister-in-law was contacted by Amanda because she has an important interview tomorrow.
",Who has an important interview tomorrow?,the sister-in-law,Amanda,"The sister-in-law wrote Amanda a few letters after she went to the army.
",Who went to the army?,the sister-in-law,Amanda,"The sister-in-law built Amanda a garden after she expressed the desire of owning a garden.
",Who expressed the desire of owning a garden?,the sister-in-law,Amanda,"Melissa was told by Jennifer that the father-in-law frustrated her.
",Who did the father-in-law frustrate?,Melissa,Jennifer,"Matthew emailed Joshua because he was seeking advice.
",Who was seeking advice?,Matthew,Joshua,"Kimberly told the aunt that the granddaughter missed her.
",Who did the granddaughter miss?,Kimberly,the aunt,"The sister-in-law told Amanda that she rankled the client.
",Who rankled the client?,the sister-in-law,Amanda,"The sister-in-law called Amanda because she wanted to catch up.
",Who wanted to catch up?,the sister-in-law,Amanda,"The sister-in-law told Amanda that she reminded the client.
",Who reminded the client?,the sister-in-law,Amanda,Ambiguous,prob-Q1-Name2,prob-Q2-Name1,def-Q3-Name2,def-Q4-Name2,def-Q5-Name1,prob-Q6-Name2,prob-Q7-Name2,def-Q8-Name1,$def-Q9-Name1,yes
"The sister-in-law told Amanda that the client favored her.
",Who did the client favor?,the sister-in-law,Amanda,"The sister-in-law was contacted by Amanda because she has an important interview tomorrow.
",Who has an important interview tomorrow?,the sister-in-law,Amanda,"The sister-in-law wrote Amanda a few letters after she went to the army.
",Who went to the army?,the sister-in-law,Amanda,"The sister-in-law built Amanda a garden after she expressed the desire of owning a garden.
",Who expressed the desire of owning a garden?,the sister-in-law,Amanda,"Melissa was told by Jennifer that the father-in-law frustrated her.
",Who did the father-in-law frustrate?,Melissa,Jennifer,"Matthew emailed Joshua because he was seeking advice.
",Who was seeking advice?,Matthew,Joshua,"Kimberly told the aunt that the granddaughter missed her.
",Who did the granddaughter miss?,Kimberly,the aunt,"The sister-in-law told Amanda that she rankled the client.
",Who rankled the client?,the sister-in-law,Amanda,"The sister-in-law called Amanda because she wanted to catch up.
",Who wanted to catch up?,the sister-in-law,Amanda,"The sister-in-law told Amanda that she reminded the client.
",Who reminded the client?,the sister-in-law,Amanda,prob-Q0-Name2,prob-Q1-Name2,Ambiguous,def-Q3-Name2,prob-Q4-Name1,prob-Q5-Name1,def-Q6-Name2,prob-Q7-Name2,def-Q8-Name1,prob-Q9-Name1,yes
"The sister-in-law told Amanda that the client favored her.
",Who did the client favor?,the sister-in-law,Amanda,"The sister-in-law was contacted by Amanda because she has an important interview tomorrow.
",Who has an important interview tomorrow?,the sister-in-law,Amanda,"The sister-in-law wrote Amanda a few letters after she went to the army.
",Who went to the army?,the sister-in-law,Amanda,"The sister-in-law built Amanda a garden after she expressed the desire of owning a garden.
",Who expressed the desire of owning a garden?,the sister-in-law,Amanda,"Melissa was told by Jennifer that the father-in-law frustrated her.
",Who did the father-in-law frustrate?,Melissa,Jennifer,"Matthew emailed Joshua because he was seeking advice.
",Who was seeking advice?,Matthew,Joshua,"Kimberly told the aunt that the granddaughter missed her.
",Who did the granddaughter miss?,Kimberly,the aunt,"The sister-in-law told Amanda that she rankled the client.
",Who rankled the client?,the sister-in-law,Amanda,"The sister-in-law called Amanda because she wanted to catch up.
",Who wanted to catch up?,the sister-in-law,Amanda,"The sister-in-law told Amanda that she reminded the client.
",Who reminded the client?,the sister-in-law,Amanda,prob-Q0-Name2,prob-Q1-Name1,prob-Q2-Name1,prob-Q3-Name2,prob-Q4-Name2,prob-Q5-Name2,prob-Q6-Name2,prob-Q7-Name2,def-Q8-Name1,$def-Q9-Name1,yes
"Matthew was told by Joshua that he interrogated the client.
",Who interrogated the client?,Matthew,Joshua,"The sister-in-law was texted by Amanda because she was seeking advice.
",Who was seeking advice?,the sister-in-law,Amanda,"The sister-in-law contacted Amanda because she was upset.
",Who was upset?,the sister-in-law,Amanda,"Melissa told Jennifer that she dishonored the father-in-law.
",Who dishonored the father-in-law?,Melissa,Jennifer,"The son told Robert that he enlightened Brian.
",Who enlightened Brian?,the son,Robert,"The sister-in-law left a note for Amanda because she wanted to catch up.
",Who wanted to catch up?,the sister-in-law,Amanda,"The sister-in-law told Amanda that she worried the client.
",Who worried the client?,the sister-in-law,Amanda,"The sister-in-law handed Amanda some cards after she got to the graduation party.
",Who got to the graduation party?,the sister-in-law,Amanda,"Matthew was pinged by Joshua because he was seeking feedback.
",Who was seeking feedback?,Matthew,Joshua,"The sister-in-law was told by Amanda that she resented the client.
",Who resented the client?,the sister-in-law,Amanda,prob-Q0-Name1,Ambiguous,prob-Q2-Name2,prob-Q3-Name1,prob-Q4-Name1,prob-Q5-Name2,Ambiguous,prob-Q7-Name2,Ambiguous,Ambiguous,yes
"Matthew was told by Joshua that he interrogated the client.
",Who interrogated the client?,Matthew,Joshua,"The sister-in-law was texted by Amanda because she was seeking advice.
",Who was seeking advice?,the sister-in-law,Amanda,"The sister-in-law contacted Amanda because she was upset.
",Who was upset?,the sister-in-law,Amanda,"Melissa told Jennifer that she dishonored the father-in-law.
",Who dishonored the father-in-law?,Melissa,Jennifer,"The son told Robert that he enlightened Brian.
",Who enlightened Brian?,the son,Robert,"The sister-in-law left a note for Amanda because she wanted to catch up.
",Who wanted to catch up?,the sister-in-law,Amanda,"The sister-in-law told Amanda that she worried the client.
",Who worried the client?,the sister-in-law,Amanda,"The sister-in-law handed Amanda some cards after she got to the graduation party.
",Who got to the graduation party?,the sister-in-law,Amanda,"Matthew was pinged by Joshua because he was seeking feedback.
",Who was seeking feedback?,Matthew,Joshua,"The sister-in-law was told by Amanda that she resented the client.
",Who resented the client?,the sister-in-law,Amanda,prob-Q0-Name2,prob-Q1-Name2,prob-Q2-Name1,def-Q3-Name2,def-Q4-Name2,prob-Q5-Name1,prob-Q6-Name2,def-Q7-Name1,prob-Q8-Name2,prob-Q9-Name2,yes
"Matthew was told by Joshua that he interrogated the client.
",Who interrogated the client?,Matthew,Joshua,"The sister-in-law was texted by Amanda because she was seeking advice.
",Who was seeking advice?,the sister-in-law,Amanda,"The sister-in-law contacted Amanda because she was upset.
",Who was upset?,the sister-in-law,Amanda,"Melissa told Jennifer that she dishonored the father-in-law.
",Who dishonored the father-in-law?,Melissa,Jennifer,"The son told Robert that he enlightened Brian.
",Who enlightened Brian?,the son,Robert,"The sister-in-law left a note for Amanda because she wanted to catch up.
",Who wanted to catch up?,the sister-in-law,Amanda,"The sister-in-law told Amanda that she worried the client.
",Who worried the client?,the sister-in-law,Amanda,"The sister-in-law handed Amanda some cards after she got to the graduation party.
",Who got to the graduation party?,the sister-in-law,Amanda,"Matthew was pinged by Joshua because he was seeking feedback.
",Who was seeking feedback?,Matthew,Joshua,"The sister-in-law was told by Amanda that she resented the client.
",Who resented the client?,the sister-in-law,Amanda,def-Q0-Name2,prob-Q1-Name2,Ambiguous,Ambiguous,prob-Q4-Name1,prob-Q5-Name1,Ambiguous,prob-Q7-Name1,prob-Q8-Name2,prob-Q9-Name1,yes
"The sister-in-law called Amanda because she was seeking advice.
",Who was seeking advice?,the sister-in-law,Amanda,"William told Joshua that he believed the saleswoman.
",Who believed the saleswoman?,William,Joshua,"The sister-in-law gave Amanda a slice of chocolate cake after she went for a tour.
",Who went for a tour?,the sister-in-law,Amanda,"Matthew was emailed by Joshua because he wanted to catch up.
",Who wanted to catch up?,Matthew,Joshua,"Melissa was told by Jennifer that she dishonored the father-in-law.
",Who dishonored the father-in-law?,Melissa,Jennifer,"The sister-in-law was left a note by Amanda because she wanted to get some clarification.
",Who wanted to get some clarification?,the sister-in-law,Amanda,"The sister-in-law was told by Amanda that she misguided the client.
",Who misguided the client?,the sister-in-law,Amanda,"The sister-in-law left a note for Amanda because she is leaving the town soon.
",Who is leaving the town soon?,the sister-in-law,Amanda,"Kimberly was told by the aunt that the granddaughter respected her.
",Who did the granddaughter respect?,Kimberly,the aunt,"The sister-in-law was baked some banana bread by Amanda before she said that she wanted some.
",Who said that she wanted some?,the sister-in-law,Amanda,def-Q0-Name1,def-Q1-Name1,prob-Q2-Name2,prob-Q3-Name2,prob-Q4-Name1,prob-Q5-Name2,prob-Q6-Name1,prob-Q7-Name1,def-Q8-Name1,prob-Q9-Name2,yes
